config,tool,op,metric,size_bytes,avg,typ_or_p50,p99,unit
nonTEE-to-SEV,snp_lat,write,lat,64,14.11,12.74,37.79,us
nonTEE-to-SEV,snp_bw,write,bw,64,0.937,0.937,,Gbps
nonTEE-to-SEV,snp_lat,write,lat,256,11.86,9.42,25.77,us
nonTEE-to-SEV,snp_bw,write,bw,256,3.106,3.106,,Gbps
nonTEE-to-SEV,snp_lat,write,lat,1024,19.41,10.51,213.89,us
nonTEE-to-SEV,snp_bw,write,bw,1024,14.295,14.295,,Gbps
nonTEE-to-SEV,snp_lat,write,lat,4096,13.88,12.92,22.13,us
nonTEE-to-SEV,snp_bw,write,bw,4096,55.265,55.265,,Gbps
nonTEE-to-SEV,snp_lat,write,lat,16384,16.90,16.51,29.17,us
nonTEE-to-SEV,snp_bw,write,bw,16384,116.186,116.186,,Gbps
nonTEE-to-SEV,snp_lat,write,lat,65536,19.52,19.35,27.66,us
nonTEE-to-SEV,snp_bw,write,bw,65536,92.284,92.284,,Gbps
nonTEE-to-SEV,snp_lat,write,lat,262144,45.42,31.63,245.67,us
nonTEE-to-SEV,snp_bw,write,bw,262144,150.198,150.198,,Gbps
nonTEE-to-SEV,snp_lat,write,lat,1048576,85.55,58.59,259.18,us
nonTEE-to-SEV,snp_bw,write,bw,1048576,182.135,182.135,,Gbps
nonTEE-to-SEV,snp_lat,write,lat,4194304,346.75,366.97,461.34,us
nonTEE-to-SEV,snp_bw,write,bw,4194304,193.565,193.565,,Gbps
nonTEE-to-SEV,snp_lat,read,lat,64,12.70,8.97,106.14,us
nonTEE-to-SEV,snp_bw,read,bw,64,1.598,1.598,,Gbps
nonTEE-to-SEV,snp_lat,read,lat,256,9.85,8.68,17.55,us
nonTEE-to-SEV,snp_bw,read,bw,256,6.128,6.128,,Gbps
nonTEE-to-SEV,snp_lat,read,lat,1024,10.06,8.46,20.48,us
nonTEE-to-SEV,snp_bw,read,bw,1024,21.549,21.549,,Gbps
nonTEE-to-SEV,snp_lat,read,lat,4096,11.09,10.66,22.68,us
nonTEE-to-SEV,snp_bw,read,bw,4096,80.521,80.521,,Gbps
nonTEE-to-SEV,snp_lat,read,lat,16384,11.82,11.01,22.24,us
nonTEE-to-SEV,snp_bw,read,bw,16384,146.812,146.812,,Gbps
nonTEE-to-SEV,snp_lat,read,lat,65536,16.24,15.98,25.99,us
nonTEE-to-SEV,snp_bw,read,bw,65536,102.865,102.865,,Gbps
nonTEE-to-SEV,snp_lat,read,lat,262144,28.93,25.56,204.33,us
nonTEE-to-SEV,snp_bw,read,bw,262144,154.019,154.019,,Gbps
nonTEE-to-SEV,snp_lat,read,lat,1048576,66.01,53.36,245.27,us
nonTEE-to-SEV,snp_bw,read,bw,1048576,185.972,185.972,,Gbps
nonTEE-to-SEV,snp_lat,read,lat,4194304,300.54,298.08,427.89,us
nonTEE-to-SEV,snp_bw,read,bw,4194304,194.010,194.010,,Gbps
